longitude,latitude,altitude,lidar(m),height_wgs84(m),cs_photo,co_photo
17.02126604,49.29937069,281.3081,0.053,323.3544,1.185421864,0
17.02126527,49.29936883,280.9034,0.059,322.9496,1.640932223,1.187041163
17.02126503,49.29936817,280.6013,0.057,322.6477,4.508130675,0.668941066
17.0212652,49.29936816,280.5653,0.053,322.6115,1.347646556,0
17.02126532,49.29936817,280.7359,0.059,322.7819,3.564847315,1.188282438
17.02126656,49.29936902,280.9969,0.054,323.0429,2.372842994,0
17.02126806,49.29937104,281.4402,0.054,323.4862,1.185659719,0
17.02126965,49.29937298,281.811,0.052,323.857,6.882738615,1.188521443
17.02127029,49.29937473,282.1414,0.055,324.1875,1.186755083,0
17.02127097,49.29937578,282.4055,0.051,324.4516,3.54722159,1.18589767
17.02127211,49.29937687,282.6869,0.077,324.7331,2.344160421,0
17.02127428,49.29937777,283.3335,0.628,325.3795,4.743781085,2.371890543
17.02127982,49.29937738,283.44,0.812,325.486,1.688802573,0
17.02128871,49.29937281,283.1861,0.758,325.2321,4.743400288,2.371700144
17.02130089,49.29936637,283.2382,0.767,325.2842,1.188378029,0
17.02131156,49.2993581,283.2517,0.779,325.2977,0.668565392,0
17.02132055,49.29934807,283.0345,0.791,325.0807,0,2.375800462
17.02132995,49.29933766,282.9014,0.794,324.9474,2.372080972,0
17.02134166,49.2993272,282.8571,0.805,324.9031,0,0
17.02135535,49.29931764,282.8191,0.816,324.8651,2.376660463,1.188330231
17.02136938,49.29930894,282.7954,0.787,324.8414,2.373128879,0.424932051
17.02138476,49.29930032,282.716,0.833,324.762,2.77675833,0
17.02139876,49.29929079,282.6357,0.838,324.6817,1.574725596,1.18494644
17.02141134,49.2992797,282.5578,0.883,324.6038,2.373033577,0
17.02142018,49.2992684,282.5468,0.854,324.5927,3.561409661,0
17.02142695,49.29925641,282.554,0.837,324.6,0,1.536467727
17.02143326,49.29924414,282.4834,0.766,324.5293,1.187088856,0
17.02143965,49.29923222,282.3953,0.751,324.4411,1.185041495,0
17.02144614,49.29922059,282.2812,0.742,324.327,3.559264492,0
17.02145229,49.29920921,282.1976,0.756,324.2434,1.19361253,0
17.02145853,49.29919763,282.1484,0.722,324.1942,4.747592423,1.186898106
17.02146457,49.29918868,282.0454,0.603,324.0912,1.184851401,0
17.02146794,49.29918408,281.9578,0.552,324.0038,1.185612141,0
17.02146855,49.29918268,282.0085,0.576,324.0542,1.185089028,0
17.02146928,49.29918297,281.7508,0.29,323.7967,1.350478325,0
17.02146972,49.29918293,281.5145,0.085,323.5602,2.370273128,1.738200294
17.02147006,49.29918314,281.4591,0.067,323.505,3.268598581,0.424812626
17.0214704,49.29918362,281.469,0.067,323.5148,0,0
17.02147123,49.29918412,281.4963,0.063,323.542,2.373700855,0
17.02147156,49.29918437,281.4534,0.062,323.4989,2.370558394,0
17.02147192,49.2991844,281.3867,0.068,323.4326,3.462756508,1.187900231
17.0214726,49.29918414,281.2961,0.062,323.3421,2.367898581,2.367898581
17.02147297,49.29918352,281.1332,0.065,323.1791,1.185802478,0.764473393
17.02147371,49.29918295,281.0186,0.061,323.0645,2.373224189,0
17.0214745,49.2991827,280.9454,0.06,322.9913,4.659925722,0.554866825
17.02147522,49.29918258,280.8793,0.062,322.9253,3.325254491,1.185136564
17.0214756,49.29918221,280.765,0.062,322.8109,2.371414604,1.185707302
17.02147592,49.29918172,280.6456,0.059,322.6914,1.186612095,2.373224189
17.02147603,49.29918136,280.5177,0.062,322.5637,1.185136564,0.668538575
17.02147609,49.29918102,280.4093,0.065,322.4553,4.566093287,1.187184255
17.0214761,49.2991807,280.3181,0.064,322.3639,0.669075338,2.372176198
17.02147591,49.29918052,280.2483,0.06,322.2943,2.786291791,0
17.02147588,49.2991802,280.212,0.07,322.2579,2.368847829,0
17.0214762,49.29917989,280.2329,0.064,322.2786,2.371509776,0
17.02147673,49.29917979,280.2582,0.065,322.3041,3.562841211,0
17.02147711,49.29917967,280.2665,0.063,322.3122,1.184708871,0
17.02147757,49.2991796,280.2799,0.062,322.3256,1.18589767,0.642035442
17.0214781,49.2991796,280.283,0.06,322.3289,1.184803888,0
17.02147856,49.2991796,280.2887,0.06,322.3344,0,0
17.02147892,49.29917969,280.3103,0.063,322.3561,1.953488743,0
17.02147933,49.29917985,280.3293,0.067,322.3752,0,1.18589767
17.02147968,49.29917991,280.3442,0.066,322.3901,1.843926868,0
17.02147998,49.29917999,280.3521,0.064,322.3979,1.193579191,0
17.02148021,49.29918005,280.3509,0.069,322.3969,2.370082989,1.185041495
17.02148046,49.2991801,280.3449,0.07,322.3906,1.411827765,0
17.02148079,49.2991801,280.3243,0.07,322.3701,3.561552764,0
17.02148112,49.29918016,280.3006,0.063,322.3465,2.375227474,1.187613737
17.02148149,49.2991802,280.2748,0.06,322.3208,0,0
17.02148179,49.2991802,280.2418,0.064,322.2877,2.371700144,0
17.02148201,49.29918019,280.2038,0.063,322.2497,1.185564566,1.185564566
17.02148231,49.29918006,280.1551,0.067,322.2009,1.186945788,0.669559162
17.02148275,49.29918004,280.1318,0.069,322.1778,0,0
17.0214834,49.29918042,280.2332,0.066,322.279,1.186088099,0
17.02148405,49.29918081,280.3576,0.07,322.4033,1.448124606,1.184566376
17.02148455,49.29918128,280.5051,0.064,322.551,4.750454947,1.187613737
17.02148501,49.29918172,280.6485,0.06,322.6944,0,0
17.02148543,49.29918219,280.7865,0.07,322.8324,1.185754888,0
17.02148572,49.29918255,280.9199,0.062,322.9658,2.189261672,1.185850072
17.02148601,49.29918287,281.0088,0.066,323.0545,1.184993966,0
17.02148631,49.29918318,281.0981,0.067,323.144,1.18656444,0
17.0214867,49.2991835,281.2127,0.067,323.2585,2.260570647,1.184186555
17.02148712,49.29918382,281.3105,0.06,323.3563,3.948166969,0
17.02148756,49.29918414,281.3928,0.067,323.4383,1.184328959,1.156453235
17.021488,49.29918443,281.4471,0.064,323.4929,0,0
17.02148853,49.2991846,281.4922,0.06,323.538,2.36837311,1.184186555
17.02148906,49.29918481,281.5477,0.061,323.5934,1.186993473,1.634398706
17.0214896,49.29918512,281.5876,0.061,323.6334,2.600675463,0
17.02148999,49.29918551,281.5986,0.058,323.6443,2.373510166,1.186755083
17.02149044,49.29918584,281.6148,0.057,323.6607,2.371414604,1.720795725
17.021491,49.29918606,281.6564,0.066,323.7022,3.372945694,0
17.02149145,49.2991861,281.6681,0.063,323.7139,2.370938855,1.185469428
17.02149179,49.2991861,281.6885,0.065,323.7343,1.187136554,0
17.02149215,49.29918605,281.7197,0.063,323.7654,2.367708823,0
17.02149256,49.29918589,281.7381,0.065,323.7838,6.764885491,0
17.02149298,49.2991858,281.7441,0.069,323.79,1.18494644,0
17.02149332,49.29918573,281.7408,0.069,323.7865,1.186088099,0
17.02149356,49.29918569,281.7346,0.063,323.7805,4.556207194,0
17.02149373,49.29918565,281.737,0.062,323.7827,4.751027867,1.187756967
17.0214939,49.29918564,281.7502,0.067,323.7962,1.314929785,0
17.021494,49.2991857,281.7533,0.062,323.7992,1.186278589,0
17.02149405,49.29918571,281.7487,0.06,323.7947,1.184471398,0.668163353
17.02149404,49.29918571,281.7192,0.062,323.7651,2.419768315,0
17.02149411,49.29918581,281.6884,0.066,323.734,1.184756378,0
17.02149406,49.29918591,281.642,0.06,323.688,3.531086331,0
17.021494,49.299186,281.599,0.06,323.6449,2.369322738,1.184661369
17.02149399,49.29918605,281.5641,0.066,323.6096,0.669478476,0
17.0214939,49.29918616,281.5449,0.067,323.5908,3.556836422,0
17.02149396,49.29918628,281.5392,0.062,323.585,2.188207748,1.185279197
17.021494,49.29918646,281.5376,0.066,323.5834,0,2.374368509
17.02149409,49.29918656,281.5252,0.06,323.5712,0.553843701,1.184328959
17.02149431,49.29918663,281.5195,0.059,323.5652,3.560694317,2.191196503
17.02149465,49.2991867,281.5196,0.06,323.5654,3.559407423,0
17.02149498,49.29918675,281.5109,0.062,323.5566,5.75189082,1.186898106
17.02149542,49.29918686,281.5107,0.06,323.556,0,0
17.02149573,49.29918691,281.5241,0.06,323.5699,1.417391458,0
17.02149583,49.2991867,281.4856,0.064,323.5315,2.374974681,0
17.02149586,49.29918641,281.4328,0.066,323.4787,3.556836422,1.185612141
